Alpha-Beta Input Depth, Space Allocation
1, 99.578
1, 99.523
1, 99.545
1, 99.550
1, 99.533
1, 99.555
1, 99.586
1, 99.511
1, 99.585
1, 99.573
2, 99.328
2, 99.305
2, 99.551
2, 99.348
2, 99.242
2, 99.325
2, 99.221
2, 99.555
2, 99.489
2, 99.703
3, 99.301
3, 99.363
3, 99.559
3, 99.305
3, 99.332
3, 99.329
3, 99.426
3, 99.538
3, 99.271
3, 99.444
4, 99.406
4, 99.266
4, 99.391
4, 99.219
4, 99.352
4, 99.222
4, 99.320
4, 99.458
4, 99.196
4, 99.330
5, 99.414
5, 99.250
5, 99.523
5, 99.477
5, 99.602
5, 99.468
5, 99.510
5, 99.587
5, 99.457
5, 99.279
6, 99.582
6, 99.809
6, 99.457
6, 99.875
6, 99.715
6, 99.678
6, 99.750
6, 99.895
6, 99.780
6, 99.823
7, 99.996
7, 100.126
7, 99.995
7, 100.250
7, 99.890
7, 100.275
7, 100.116
7, 99.875
7, 99.999
7, 100.294
8, 101.359
8, 101.496
8, 101.555
8, 101.391
8, 101.651
8, 99.999
8, 101.241
8, 101.471
8, 101.671
8, 101.333
