Alpha-Beta Input, Alpha-Beta Time
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1.795
2,1.491
2,1.587
2,1.163
2,0.955
2,1.644
2,1.755
2,0.951
2,1.664
2,0.905
3,7.73
3,6.958
3,6.831
3,5.746
3,5.519
3,6.692
3,6.279
3,6.481
3,7.986
3,7.105
4,3.631
4,3.104
4,2.232
4,3.42
4,2.486
4,2.42
4,3.383
4,2.495
4,3.255
4,2.42
5,10.51
5,10.216
5,9.23
5,12.123
5,11.07
5,11.381
5,10.657
5,9.738
5,10.402
5,9.229
6,3.682
6,3.749
6,3.694
6,3.726
6,3.8
6,3.601
6,3.72
6,3.252
6,3.414
6,3.587
7,13.758
7,17.502
7,15.618
7,18.007
7,10.829
7,16.108
7,18.339
7,16.884
7,15.482
7,14.95
8,7.618
